# start,end,label
0.00,0.50,ignore
0.50,2.30,reposo
2.30,2.50,ignore
2.50,3.90,abrir
3.90,4.10,ignore
4.10,6.10,reposo
6.10,6.30,ignore
6.30,7.80,abrir
7.80,8.10,ignore
8.10,10.00,reposo
10.00,10.20,ignore
10.20,11.50,abrir
11.50,12.10,ignore
12.10,14.10,reposo
14.10,14.30,ignore
14.30,15.70,abrir
15.70,15.90,ignore
15.90,18.10,reposo
18.10,18.30,ignore
18.30,19.90,abrir
19.90,20.10,ignore
20.10,22.10,reposo
22.10,22.30,ignore
22.30,23.50,abrir
23.50,24.10,ignore
24.10,26.30,reposo
26.30,26.50,ignore
26.50,28.00,abrir
28.00,28.20,ignore
28.20,30.00,reposo
30.00,30.20,ignore
30.20,31.40,abrir
