#start,end,label
0.00,2.40,reposo
2.40,2.60,ignore
2.60,4.30,cerrar
4.30,4.50,ignore
4.50,6.20,reposo
6.20,6.40,ignore
6.40,7.80,cerrar
7.80,8.00,ignore
8.00,10.00,reposo
10.00,10.20,ignore
10.20,11.50,cerrar
11.50,11.70,ignore
11.70,13.90,reposo
13.90,14.10,ignore
14.10,15.20,cerrar
15.20,15.40,ignore
15.40,18.20,reposo
18.20,18.40,ignore
18.40,20.10,cerrar
20.10,20.20,ignore
20.20,22.30,reposo
22.30,22.50,ignore
22.50,23.90,cerrar
23.90,24.10,ignore
24.10,26.20,reposo
26.20,26.40,ignore
26.40,27.80,cerrar
27.80,28.00,ignore
28.00,30.10,reposo
30.10,30.30,ignore
30.30,31.50,cerrar
