#start,end,label
0.00,2.20,reposo
2.20,2.40,ignore
2.40,3.90,pinza
3.90,4.00,ignore
4.00,6.10,reposo
6.10,6.30,ignore
6.30,8.00,pinza
8.00,8.10,ignore
8.10,9.90,reposo
9.90,10.10,ignore
10.10,11.80,pinza
11.80,11.90,ignore
11.90,14.10,reposo
14.10,14.30,ignore
14.30,15.90,pinza
15.90,16.00,ignore
16.00,18.30,reposo
18.30,18.40,ignore
18.40,20.00,pinza
20.00,20.20,ignore
20.20,22.10,reposo
22.10,22.20,ignore
22.20,23.80,pinza
23.80,24.00,ignore
24.00,26.00,reposo
26.00,26.10,ignore
26.10,28.00,pinza
28.00,28.10,ignore
28.10,29.80,reposo
29.80,30.00,ignore
30.00,31.40,pinza
